                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.68172,                0.55971,                 1.1212,                0.82596,                0.83636,                0.85924,                0.67605,                0.98444,                0.79006,                 1.2619,             0.00045757,             0.00045757,             0.00045757
                    105,                0.66363,                0.54656,                 1.1088,                0.80156,                0.84996,                0.86728,                0.68405,                0.98328,                0.78646,                 1.2562,             0.00044813,             0.00044813,             0.00044813
                    106,                0.66965,                0.55467,                 1.1105,                 0.8222,                0.84805,                0.87064,                0.68178,                0.97791,                0.78547,                 1.2561,              0.0004387,              0.0004387,              0.0004387
                    107,                0.67032,                0.55077,                  1.113,                0.80727,                0.85968,                 0.8663,                0.67642,                0.97877,                0.81343,                 1.2605,             0.00042927,             0.00042927,             0.00042927
                    108,                0.65952,                0.54449,                  1.108,                0.81173,                  0.849,                  0.871,                0.68606,                0.98297,                0.78647,                 1.2497,             0.00041984,             0.00041984,             0.00041984
                    109,                0.65838,                0.54317,                 1.1057,                0.83216,                0.84723,                0.87612,                0.69294,                0.98953,                0.79733,                 1.2589,             0.00041041,             0.00041041,             0.00041041
                    110,                0.66073,                 0.5465,                 1.1064,                0.80342,                0.86435,                0.87412,                0.68308,                0.99807,                0.76596,                 1.2706,             0.00040098,             0.00040098,             0.00040098
                    111,                0.65484,                0.54661,                 1.1073,                0.80727,                0.86586,                 0.8783,                  0.685,                0.97015,                0.78034,                 1.2404,             0.00039155,             0.00039155,             0.00039155
                    112,                0.65094,                0.53581,                 1.1055,                0.80654,                0.84953,                0.86489,                0.67552,                0.97181,                0.78725,                 1.2426,             0.00038211,             0.00038211,             0.00038211
                    113,                0.64566,                0.53348,                 1.1025,                0.79536,                0.85433,                0.86537,                0.67713,                0.98797,                0.77476,                 1.2547,             0.00037268,             0.00037268,             0.00037268
